municipio,matfund,matfundpop,matmed,matmedpop,docfund,docfundpop,docmed,docmedpop,nestabfund,nestabfundpop,nestabmed,nestabmedpop,populacao,idh,pib
150215,10133,0.28108,2508,0.06957,414,0.01148,96,0.00266,25,0.00069,5,0.00014,36050,0.673,113457.46
150220,11105,0.16184,3617,0.05271,448,0.00653,233,0.00340,55,0.00080,15,0.00022,68616,0.655,14405.82
150230,9447,0.17437,2135,0.03941,615,0.01135,131,0.00242,108,0.00199,10,0.00018,54179,0.548,8591.87
150240,31739,0.16006,9502,0.04792,1376,0.00694,537,0.00271,108,0.00054,25,0.00013,198294,0.673,19242.51
150250,5542,0.23601,273,0.01163,268,0.01141,11,0.00047,98,0.00417,1,0.00004,23482,0.453,7864.44
150260,2334,0.19385,542,0.04502,119,0.00988,42,0.00349,27,0.00224,5,0.00042,12040,0.602,6721.94
150270,7384,0.15469,2297,0.04812,331,0.00693,167,0.00350,27,0.00057,8,0.00017,47734,0.640,12010.94
150275,6255,0.19043,1977,0.06019,287,0.00874,50,0.00152,81,0.00247,2,0.00006,32847,0.566,9024.66
150276,1973,0.14971,299,0.02269,115,0.00873,17,0.00129,16,0.00121,2,0.00015,13179,0.550,21036.80
150277,3472,0.19274,1143,0.06345,169,0.00938,23,0.00128,18,0.00100,2,0.00011,18014,0.636,49264.26
150280,8966,0.26454,1586,0.04679,329,0.00971,51,0.00150,45,0.00133,2,0.00006,33893,0.502,18840.76
150285,3137,0.22096,999,0.07037,232,0.01634,30,0.00211,37,0.00261,1,0.00007,14197,0.578,8641.05
150290,6992,0.17683,1745,0.04413,271,0.00685,65,0.00164,65,0.00164,4,0.00010,39540,0.582,7090.39
150293,7254,0.12304,1833,0.03109,308,0.00522,67,0.00114,40,0.00068,4,0.00007,58956,0.615,11706.68
150295,6051,0.17969,1328,0.03944,241,0.00716,39,0.00116,42,0.00125,2,0.00006,33674,0.560,10924.03
150300,1736,0.23719,296,0.04044,94,0.01284,14,0.00191,19,0.00260,1,0.00014,7319,0.563,8060.87
150304,3488,0.17371,895,0.04457,162,0.00807,23,0.00115,21,0.00105,2,0.00010,20080,0.583,12642.21
150307,6086,0.23390,1285,0.04939,341,0.01311,35,0.00135,57,0.00219,2,0.00008,26020,0.526,9553.41
150309,5737,0.14394,1195,0.02998,293,0.00735,33,0.00083,43,0.00108,1,0.00003,39857,0.560,9492.97
150310,9293,0.28168,1662,0.05038,484,0.01467,39,0.00118,89,0.00270,1,0.00003,32991,0.509,7104.38
150320,6389,0.16557,1743,0.04517,392,0.01016,136,0.00352,61,0.00158,9,0.00023,38588,0.595,8064.49
150330,13658,0.21904,2497,0.04004,541,0.00868,83,0.00133,108,0.00173,3,0.00005,62355,0.547,6176.38
150340,1620,0.14015,423,0.03659,85,0.00735,26,0.00225,28,0.00242,2,0.00017,11559,0.572,10068.90
150345,7031,0.11258,1721,0.02756,322,0.00516,50,0.00080,66,0.00106,2,0.00003,62455,0.489,8692.03
150350,6108,0.18792,1328,0.04086,326,0.01003,87,0.00268,108,0.00332,7,0.00022,32504,0.559,6854.94
150360,19326,0.19116,3829,0.03787,902,0.00892,193,0.00191,109,0.00108,14,0.00014,101097,0.640,17971.96
150370,9712,0.18262,2026,0.03810,452,0.00850,64,0.00120,91,0.00171,4,0.00008,53182,0.528,10811.45
150375,5046,0.56703,815,0.09158,331,0.03720,23,0.00258,57,0.00641,1,0.00011,8899,0.505,40653.91
150380,7537,0.12893,2046,0.03500,347,0.00594,69,0.00118,38,0.00065,5,0.00009,58457,0.622,8503.84
150390,11738,0.20626,2543,0.04469,455,0.00800,65,0.00114,96,0.00169,4,0.00007,56908,0.592,18567.55
150400,6065,0.21219,1114,0.03897,345,0.01207,43,0.00150,52,0.00182,2,0.00007,28583,0.541,16120.18
150405,6452,0.21566,1562,0.05221,259,0.00866,68,0.00227,49,0.00164,3,0.00010,29917,0.599,10012.17
150410,1571,0.18432,407,0.04775,90,0.01056,23,0.00270,22,0.00258,1,0.00012,8523,0.597,9056.52
150420,46696,0.16975,12164,0.04422,1465,0.00533,496,0.00180,199,0.00072,35,0.00013,275086,0.668,31650.18
150430,5594,0.19008,1598,0.05430,371,0.01261,62,0.00211,78,0.00265,2,0.00007,29429,0.570,7639.88
150440,4720,0.16726,1779,0.06304,247,0.00875,44,0.00156,52,0.00184,3,0.00011,28220,0.609,8030.68
150442,17620,0.13625,5192,0.04015,773,0.00598,199,0.00154,62,0.00048,10,0.00008,129321,0.676,13984.01
150445,4872,0.15609,875,0.02803,215,0.00689,26,0.00083,35,0.00112,1,0.00003,31213,0.582,18901.74
150450,7589,0.27682,1054,0.03845,349,0.01273,32,0.00117,52,0.00190,1,0.00004,27415,0.418,6312.82
150460,6537,0.21268,1540,0.05010,288,0.00937,60,0.00195,56,0.00182,2,0.00007,30736,0.575,10124.09
150470,16082,0.19857,3914,0.04833,670,0.00827,103,0.00127,168,0.00207,3,0.00004,80988,0.547,11179.94
150475,4162,0.26042,736,0.04605,245,0.01533,27,0.00169,60,0.00375,1,0.00006,15982,0.659,9919.95
150480,12297,0.21238,3259,0.05629,556,0.00960,126,0.00218,118,0.00204,8,0.00014,57900,0.589,12223.18
150490,7416,0.18641,1418,0.03564,362,0.00910,30,0.00075,39,0.00098,1,0.00003,39783,0.547,6657.43
150495,4595,0.21582,939,0.04410,225,0.01057,29,0.00136,44,0.00207,1,0.00005,21291,0.502,10371.15
150497,2533,0.15352,518,0.03140,118,0.00715,22,0.00133,17,0.00103,1,0.00006,16499,0.581,8445.15
150500,1938,0.12735,547,0.03594,87,0.00572,18,0.00118,22,0.00145,2,0.00013,15218,0.609,8224.19
150503,5291,0.20541,1191,0.04624,227,0.00881,53,0.00206,27,0.00105,3,0.00012,25758,0.673,24268.79
150506,13979,0.18738,1897,0.02543,569,0.00763,76,0.00102,107,0.00143,5,0.00007,74602,0.537,11380.39
